task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	db/46a3cf	162335	MAKE_DB:AMRFINDERPLUS_UPDATE (update)	CACHED	0	2025-07-14 19:21:10.859	24.7s	24s	63.0%	21.6 MB	166 MB	569.8 MB	497.2 MB
7	ed/7c8161	177780	PARSE_GBK (SAMN04875288)	CACHED	0	2025-07-15 08:13:27.561	685ms	560ms	89.1%	37.9 MB	642.8 MB	12.3 MB	4.3 MB
11	1c/d38d70	172488	MAKE_DB:PHISPY (SAMN04875288)	CACHED	0	2025-07-15 08:05:21.731	1m 17s	1m 17s	189.4%	585 MB	1.8 GB	62.8 MB	6 MB
35	17/fc6680	191340	MAKE_DB:AMRFINDERPLUS_RUN (SAMN04875288)	CACHED	0	2025-07-15 09:56:11.612	26.2s	26s	181.5%	179.8 MB	427.9 MB	1.1 GB	472.2 MB
34	b4/36061f	191357	MAKE_DB:MOBSUITE_RECON (SAMN04875288)	CACHED	0	2025-07-15 09:56:11.631	53.8s	54s	167.6%	769.9 MB	1.6 GB	127.9 MB	21.8 MB
4	3a/1e86e8	228062	PARSE_GBK (SAMN04875286)	COMPLETED	0	2025-07-16 13:44:45.387	611ms	490ms	114.0%	40.6 MB	645.1 MB	12.3 MB	4.3 MB
3	f8/cd122a	228059	PARSE_GBK (SAMN04875285)	COMPLETED	0	2025-07-16 13:44:45.347	789ms	608ms	87.9%	33.7 MB	640.1 MB	12.2 MB	4.2 MB
2	44/e7e116	228270	PARSE_GBK (SAMN04875284)	COMPLETED	0	2025-07-16 13:44:46.024	612ms	525ms	103.8%	3.2 MB	12.1 MB	12.1 MB	4.1 MB
9	fa/fdb80d	228342	MAKE_DB:PHISPY (SAMN04875286)	COMPLETED	0	2025-07-16 13:44:46.195	1m 22s	1m 22s	189.9%	588.4 MB	1.6 GB	62.7 MB	6.1 MB
5	e5/77132c	228509	MAKE_DB:PHISPY (SAMN04875284)	COMPLETED	0	2025-07-16 13:44:46.690	1m 22s	1m 22s	191.0%	584.9 MB	1.6 GB	62.5 MB	5.9 MB
6	84/49ad02	231468	PARSE_GBK (SAMN04875287)	COMPLETED	0	2025-07-16 13:46:08.934	572ms	445ms	130.4%	22.1 MB	45.4 MB	12.1 MB	4.2 MB
10	93/3f7390	231261	MAKE_DB:PHISPY (SAMN04875287)	COMPLETED	0	2025-07-16 13:46:08.417	1m 23s	1m 23s	186.0%	582.5 MB	1.4 GB	62.6 MB	5.9 MB
12	c6/3cf029	234318	PARSE_GBK (SAMN04875289)	COMPLETED	0	2025-07-16 13:47:31.859	544ms	437ms	134.8%	16.5 MB	37.8 MB	12.1 MB	4.1 MB
8	10/ec4a47	231578	MAKE_DB:PHISPY (SAMN04875285)	COMPLETED	0	2025-07-16 13:46:09.541	1m 24s	1m 24s	186.0%	580 MB	1.3 GB	62.7 MB	6 MB
14	60/7a1f15	234652	PARSE_GBK (SAMN04875291)	COMPLETED	0	2025-07-16 13:47:33.415	503ms	419ms	137.3%	16.1 MB	37.8 MB	12.1 MB	4.1 MB
13	bb/5a21e8	234816	PARSE_GBK (SAMN04875290)	COMPLETED	0	2025-07-16 13:47:33.924	507ms	442ms	129.0%	3.2 MB	12.1 MB	12.3 MB	4.3 MB
18	60/8ae118	234896	PARSE_GBK (SAMN04875292)	COMPLETED	0	2025-07-16 13:47:34.447	485ms	428ms	137.1%	16.3 MB	37.8 MB	12.3 MB	4.3 MB
22	be/f3ca65	235058	PARSE_GBK (SAMN04875294)	COMPLETED	0	2025-07-16 13:47:34.937	555ms	450ms	129.0%	27.1 MB	50.5 MB	12 MB	4.1 MB
21	9f/22aa91	235164	PARSE_GBK (SAMN04875293)	COMPLETED	0	2025-07-16 13:47:35.498	525ms	444ms	122.2%	17.1 MB	39.2 MB	12.1 MB	4.1 MB
23	b7/c330c4	235326	PARSE_GBK (SAMN04875295)	COMPLETED	0	2025-07-16 13:47:36.047	506ms	437ms	123.2%	22.1 MB	45.3 MB	11.9 MB	4 MB
24	31/c3ff1d	235431	PARSE_GBK (SAMN04875296)	COMPLETED	0	2025-07-16 13:47:36.558	487ms	419ms	139.6%	16.3 MB	37.8 MB	12 MB	4.1 MB
