task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	a3/acea0e	3655340	MAKE_DB:GET_ICEBERG	CACHED	0	2025-08-18 18:22:55.075	9.2s	9.1s	4.3%	11.9 MB	161.7 MB	6.5 MB	9.1 MB
4	2c/36465c	3660047	PARSE_GBK (SAMN04875286)	FAILED	1	2025-08-19 09:55:57.176	138ms	119ms	-	-	-	-	-
10	b2/4de91d	3660188	PARSE_GBK (SAMN04875292)	FAILED	1	2025-08-19 09:55:57.217	128ms	20ms	-	-	-	-	-
17	0d/548531	3660107	PARSE_GBK (SAMN04875299)	FAILED	1	2025-08-19 09:55:57.197	125ms	2ms	-	-	-	-	-
5	18/b2aec0	3660039	PARSE_GBK (SAMN04875287)	FAILED	1	2025-08-19 09:55:57.167	146ms	120ms	-	-	-	-	-
15	ea/3c68ca	3660151	PARSE_GBK (SAMN04875297)	FAILED	1	2025-08-19 09:55:57.208	135ms	20ms	-	-	-	-	-
9	94/fcfc2c	3660074	PARSE_GBK (SAMN04875291)	FAILED	1	2025-08-19 09:55:57.186	133ms	3ms	-	-	-	-	-
1	82/8d6a43	3660029	PARSE_GBK (SAMN04875284)	FAILED	1	2025-08-19 09:55:57.154	149ms	118ms	-	-	-	-	-
13	7b/4fc54b	3660230	PARSE_GBK (SAMN04875295)	FAILED	1	2025-08-19 09:55:57.227	148ms	49ms	-	-	-	-	-
12	cd/0736ca	3660266	PARSE_GBK (SAMN04875294)	FAILED	1	2025-08-19 09:55:57.238	139ms	49ms	-	-	-	-	-
11	df/7a35a6	3660310	PARSE_GBK (SAMN04875293)	FAILED	1	2025-08-19 09:55:57.250	129ms	50ms	-	-	-	-	-
16	62/af3f41	3660383	PARSE_GBK (SAMN04875298)	FAILED	1	2025-08-19 09:55:57.273	114ms	39ms	-	-	-	-	-
7	18/499668	3660350	PARSE_GBK (SAMN04875289)	FAILED	1	2025-08-19 09:55:57.263	126ms	43ms	-	-	-	-	-
3	cd/9ff665	3660477	PARSE_GBK (SAMN04875285)	FAILED	1	2025-08-19 09:55:57.296	110ms	52ms	-	-	-	-	-
14	64/4774b9	3660518	PARSE_GBK (SAMN04875296)	FAILED	1	2025-08-19 09:55:57.308	103ms	54ms	-	-	-	-	-
8	bf/75e044	3660430	PARSE_GBK (SAMN04875290)	FAILED	1	2025-08-19 09:55:57.285	167ms	100ms	-	-	-	-	-
6	a9/7aa0d0	3660563	PARSE_GBK (SAMN04875288)	FAILED	1	2025-08-19 09:55:57.320	134ms	95ms	-	-	-	-	-
