task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	e1/fc1203	2616736	MAKE_DB_V1:GET_ICEBERG	COMPLETED	0	2025-09-22 14:32:51.421	854ms	54ms	22.2%	0	0	131.1 KB	216 B
3	42/b7ac6c	2616386	QUERY_DB_V1:AMRFINDERPLUS_UPDATE (update)	COMPLETED	0	2025-09-22 14:32:50.893	14.3s	0ms	102.6%	2.8 MB	4.3 MB	90.9 KB	374 B
6	6d/ccdfe5	2616804	PARSE_GBK_MAKE (SAMN04875288)	COMPLETED	0	2025-09-22 14:32:51.517	13.4s	30ms	41.5%	0	0	138 KB	216 B
7	6f/fa1fc9	2616259	QUERY_DB_V1:PHISPY (SAMN04875286)	COMPLETED	0	2025-09-22 14:32:50.686	14.7s	1s	159.8%	89.3 MB	5.3 GB	17.3 MB	347 B
1	f2/6ba03e	2616575	MAKE_DB_V1:AMRFINDERPLUS_UPDATE (update)	COMPLETED	0	2025-09-22 14:32:51.170	15.9s	0ms	93.6%	0	0	90.9 KB	371 B
4	9d/8510e5	2616708	PARSE_GBK_QUERY (SAMN04875286)	COMPLETED	0	2025-09-22 14:32:51.371	16.8s	87ms	14.5%	0	0	135.9 KB	216 B
9	29/f4f67e	2616838	PARSE_GBK_MAKE (SAMN04875293)	COMPLETED	0	2025-09-22 14:32:51.571	16.6s	42ms	37.7%	0	0	140 KB	216 B
13	a0/e0441d	2616435	MAKE_DB_V1:PHISPY (SAMN04875299)	COMPLETED	0	2025-09-22 14:32:50.983	17.5s	1s	165.8%	89.4 MB	5.3 GB	17.3 MB	345 B
8	2e/578d83	2616771	PARSE_GBK_MAKE (SAMN04875290)	COMPLETED	0	2025-09-22 14:32:51.469	17.4s	74ms	23.9%	0	0	140 KB	216 B
10	68/93bc8f	2616895	PARSE_GBK_MAKE (SAMN04875299)	COMPLETED	0	2025-09-22 14:32:51.640	17.3s	110ms	12.6%	0	0	140 KB	216 B
5	d9/1e0eca	2616519	MAKE_DB_V1:PHISPY (SAMN04875288)	COMPLETED	0	2025-09-22 14:32:51.099	19.5s	2s	148.9%	90.3 MB	5.3 GB	17.3 MB	345 B
14	84/7f9577	2617480	MAKE_DB_V1:DIAMOND_MAKEDB (ICE_aa_experimental_reformatted.fas)	COMPLETED	0	2025-09-22 14:32:52.529	18.1s	0ms	75.5%	2.5 MB	5.4 MB	73.1 KB	367 B
11	77/06a257	2616656	MAKE_DB_V1:PHISPY (SAMN04875290)	COMPLETED	0	2025-09-22 14:32:51.287	21s	2s	132.6%	84.8 MB	5.3 GB	17.3 MB	345 B
12	9f/2aa731	2616360	MAKE_DB_V1:PHISPY (SAMN04875293)	COMPLETED	0	2025-09-22 14:32:50.840	21.5s	2s	155.5%	87.1 MB	5.3 GB	17.3 MB	345 B
30	d4/8fcbd8	2626014	MAKE_DB_V1:TN3_FINDER (SAMN04875293)	COMPLETED	0	2025-09-22 14:33:08.695	12.4s	77ms	20.0%	0	0	148.4 KB	216 B
16	09/8f166c	2623727	MAKE_DB_V1:TN3_FINDER (SAMN04875288)	COMPLETED	0	2025-09-22 14:33:05.397	16s	58ms	29.4%	0	0	146.4 KB	216 B
29	fe/d7ca25	2625924	MAKE_DB_V1:TNCOMP_FINDER (SAMN04875293)	COMPLETED	0	2025-09-22 14:33:08.612	13.9s	53ms	34.8%	0	0	146.4 KB	216 B
17	79/7a8d36	2623783	MAKE_DB_V1:MASH_SKETCH (SAMN04875288)	COMPLETED	0	2025-09-22 14:33:05.442	17.6s	0ms	215.9%	2.8 MB	5.4 MB	72.5 KB	302 B
19	69/7ad542	2623823	MAKE_DB_V1:TNCOMP_FINDER (SAMN04875288)	COMPLETED	0	2025-09-22 14:33:05.497	17.5s	110ms	19.2%	0	0	146.4 KB	216 B
20	68/27053d	2625009	MAKE_DB_V1:AMRFINDERPLUS_RUN (SAMN04875288)	COMPLETED	0	2025-09-22 14:33:07.282	16.7s	0ms	88.9%	2.8 MB	4.3 MB	95.9 KB	479 B
43	bb/0043bc	2626310	MAKE_DB_V1:TN3_FINDER (SAMN04875299)	COMPLETED	0	2025-09-22 14:33:09.205	16.6s	53ms	18.5%	0	0	146.4 KB	216 B
22	ea/257d40	2625628	QUERY_DB_V1:TNCOMP_FINDER (SAMN04875286)	COMPLETED	0	2025-09-22 14:33:08.221	18s	54ms	14.5%	0	0	148.5 KB	216 B
15	b4/045ae9	2623844	MAKE_DB_V1:MOBSUITE_RECON (SAMN04875288)	COMPLETED	0	2025-09-22 14:33:05.531	20.8s	5s	125.5%	138.8 MB	5.5 GB	36.2 MB	365 B
18	f2/6577d7	2623885	MAKE_DB_V1:INTEGRONFINDER (SAMN04875288)	COMPLETED	0	2025-09-22 14:33:05.569	20.8s	5s	114.7%	118.8 MB	5.5 GB	34.7 MB	31 KB
36	5e/1dac9c	2626313	MAKE_DB_V1:TN3_FINDER (SAMN04875290)	COMPLETED	0	2025-09-22 14:33:09.236	17.2s	66ms	35.5%	0	0	144.4 KB	216 B
32	e9/f1d3fb	2627489	MAKE_DB_V1:AMRFINDERPLUS_RUN (SAMN04875290)	COMPLETED	0	2025-09-22 14:33:10.757	16.5s	0ms	100.0%	2.5 MB	4.3 MB	95.9 KB	480 B
24	24/8a185c	2625696	QUERY_DB_V1:TN3_FINDER (SAMN04875286)	COMPLETED	0	2025-09-22 14:33:08.265	19.5s	71ms	23.4%	0	0	144.4 KB	216 B
26	6a/a9146a	2626023	MAKE_DB_V1:AMRFINDERPLUS_RUN (SAMN04875293)	COMPLETED	0	2025-09-22 14:33:08.718	19.8s	0ms	90.9%	2.8 MB	4.3 MB	95.9 KB	479 B
21	3d/5f03c6	2625796	QUERY_DB_V1:AMRFINDERPLUS_RUN (SAMN04875286)	COMPLETED	0	2025-09-22 14:33:08.351	20.4s	0ms	87.0%	2.8 MB	4.3 MB	95.9 KB	481 B
23	91/d8e023	2625728	QUERY_DB_V1:MOBSUITE_RECON (SAMN04875286)	COMPLETED	0	2025-09-22 14:33:08.298	20.4s	5s	111.1%	139.1 MB	5.5 GB	36.2 MB	367 B
31	4d/0f9457	2626066	MAKE_DB_V1:MASH_SKETCH (SAMN04875293)	COMPLETED	0	2025-09-22 14:33:08.781	20.4s	0ms	153.8%	2.8 MB	5.4 MB	72.5 KB	302 B
34	89/6fefcb	2628073	MAKE_DB_V1:MASH_SKETCH (SAMN04875290)	COMPLETED	0	2025-09-22 14:33:12.369	17.6s	0ms	214.4%	2.8 MB	5.4 MB	72.5 KB	302 B
33	50/312715	2626297	MAKE_DB_V1:MOBSUITE_RECON (SAMN04875290)	COMPLETED	0	2025-09-22 14:33:09.101	22.3s	5s	103.8%	139 MB	5.5 GB	36.2 MB	365 B
25	46/28fd63	2625829	QUERY_DB_V1:INTEGRONFINDER (SAMN04875286)	COMPLETED	0	2025-09-22 14:33:08.444	24.5s	6s	103.7%	119.4 MB	5.5 GB	34.7 MB	31 KB
