sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
SAMN04875295	chromosome	-	-	PFFFBGGF_1 Staphylococcus aureus strain strain	563980	0.32141565303734176	0b1b4f8b23311669e2a8f61e2a1a1cc7	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_10 Staphylococcus aureus strain strain	87636	0.3281414030763613	2b7655ad8d60dac61dd1393cb9e6ea5c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_11 Staphylococcus aureus strain strain	75508	0.3421226889865974	5f48b128b997e905509803aeb9b8ed7f	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_12 Staphylococcus aureus strain strain	61459	0.315901658015913	2e2003a2479cdd66821932f7e93e835b	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_13 Staphylococcus aureus strain strain	59612	0.31891229953700595	6f0a6c0d6d70da764909fe6464ee3a29	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_14 Staphylococcus aureus strain strain	53873	0.33593822508492194	a09b7795d998cae04aa2b4cc307c8b6c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_15 Staphylococcus aureus strain strain	37909	0.3345643514732649	b76296d297f85c7d1112d19c20d038b5	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_16 Staphylococcus aureus strain strain	32379	0.31619259396522437	4caf164f2611c28b29f16faaf97482ab	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_17 Staphylococcus aureus strain strain	30065	0.32516214867786464	bd4b191b0028069b1a539ad63d1fc698	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_18 Staphylococcus aureus strain strain	22488	0.29429028815368197	16136a9505fac8d05f58e4b69a7db582	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_19 Staphylococcus aureus strain strain	19828	0.31894290901755096	ab456d0db7d6f247d6045d698b614d50	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_2 Staphylococcus aureus strain strain	316456	0.330475642743383	beddca5edfb92fb87c87646be0c54def	not tested	rep_cluster_2250	BX571857	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_20 Staphylococcus aureus strain strain	17334	0.30812276450905735	25442234c6b5df639cdaf640a37b3952	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_21 Staphylococcus aureus strain strain	12202	0.32019341091624326	a503b036cf09f21704c4e55ba463f2bf	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_22 Staphylococcus aureus strain strain	11691	0.2728594645453768	1c335bf1b1fc849b3d254505f3ca13cb	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_23 Staphylococcus aureus strain strain	8648	0.3258556891766883	36b33ed31d4e1a69e17de0ef19a080a8	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_24 Staphylococcus aureus strain strain	7039	0.3506179855093053	8e8860634439eea8def32aec29ef9495	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_25 Staphylococcus aureus strain strain	5419	0.3399151134895737	0ab4ea0b7238a6d4135f7d97d528c726	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	plasmid	AB117	AJ696	PFFFBGGF_26 Staphylococcus aureus strain strain	3276	0.336996336996337	7ddee9e012a9a3c1f21b93fb7a1d2a9c	not tested	-	-	-	-	-	-	-	-	-	CP024441	0.00524853	Staphylococcus epidermidis	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_27 Staphylococcus aureus strain strain	1402	0.31169757489301	7a9a11ea26aabf70f25447a687594c9c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	JX204384	IS1181	repetitve element
SAMN04875295	chromosome	-	-	PFFFBGGF_28 Staphylococcus aureus strain strain	1179	0.38592027141645463	926351b739a70cc614ca35bcfac602e0	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_29 Staphylococcus aureus strain strain	679	0.4167893961708395	13a854765456f6c3e9746d081fa69630	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_3 Staphylococcus aureus strain strain	304278	0.3264218905080223	91a92cea22591ff3dccd7f62a0eb0708	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_30 Staphylococcus aureus strain strain	643	0.4401244167962675	b1b0019c8a6b0ffc86b81d1ae4a0ce30	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_31 Staphylococcus aureus strain strain	615	0.3154471544715447	86d67a6ddf5faa93dd9f6b8b66d338a1	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_32 Staphylococcus aureus strain strain	442	0.3031674208144796	8686ba7cf067bc04a8918f627a0248d0	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_33 Staphylococcus aureus strain strain	430	0.45348837209302323	a8675abc876acc57caaa69f59252e465	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_34 Staphylococcus aureus strain strain	390	0.3871794871794872	5e0c696fc1f94e991254923a9dbd2726	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_35 Staphylococcus aureus strain strain	363	0.465564738292011	057721995850e23e2126a9468ad7d833	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_36 Staphylococcus aureus strain strain	351	0.27635327635327633	a4180585f7efa12e1efb8375d1c8b81e	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_37 Staphylococcus aureus strain strain	350	0.38857142857142857	4a39c8b3605e7ad8e77935e9e4e361be	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_38 Staphylococcus aureus strain strain	337	0.3323442136498516	b810f9ba9bc6b3d4a971bf637bd97de1	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_39 Staphylococcus aureus strain strain	337	0.2789317507418398	8163679df33a9e6cbd06aa9a6c336da0	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_4 Staphylococcus aureus strain strain	275731	0.32310476515154263	d265885a924670395fbe561c9532c703	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_40 Staphylococcus aureus strain strain	303	0.29042904290429045	ab4b5d3c51bb102811868a07e36da324	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_41 Staphylococcus aureus strain strain	283	0.3215547703180212	3496d742df74d65aa4ef97a70cccf67e	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_42 Staphylococcus aureus strain strain	277	0.51985559566787	6c9ce937ffdab9d6dfdfde2419dc4809	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_43 Staphylococcus aureus strain strain	275	0.32727272727272727	90725178bec0a78e723b5653064200f4	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_44 Staphylococcus aureus strain strain	253	0.39920948616600793	a8a28279fbb5840a8f7c3e8418f8d666	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_45 Staphylococcus aureus strain strain	252	0.5436507936507936	355fddb7fca14cfdab1598617780652d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875295	chromosome	-	-	PFFFBGGF_46 Staphylococcus aureus strain strain	251	0.42231075697211157	c443045342110c6f2c60c6bdc99bec0c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
