sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
SAMN04875284	chromosome	-	-	SAMN04875284.contig00001 len=810293 cov=30.8 corr=0 origname=NODE_1_length_810293_cov_30.819289_pilon sw=shovill-spades/1.0.4 date=20190108	810293	0.32148988082088825	54297d8f3f67bb991663e640c06f7d16	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00002 len=388810 cov=33.4 corr=6 origname=NODE_2_length_388811_cov_33.414180_pilon sw=shovill-spades/1.0.4 date=20190108	388810	0.3336359661531339	a5c41935b0ba5e599eaa9bcf84b76aea	not tested	rep_cluster_2250	BX571857	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00003 len=286996 cov=28.6 corr=0 origname=NODE_3_length_286996_cov_28.633868_pilon sw=shovill-spades/1.0.4 date=20190108	286996	0.3263216212072642	c720865a69f451c02926873329a51b74	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00004 len=159001 cov=32.1 corr=0 origname=NODE_4_length_159001_cov_32.147105_pilon sw=shovill-spades/1.0.4 date=20190108	159001	0.3269224721857095	56f7c7a3be7d7b6a0bbdf9a2746230cd	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00005 len=144859 cov=32.3 corr=0 origname=NODE_5_length_144859_cov_32.324666_pilon sw=shovill-spades/1.0.4 date=20190108	144859	0.32590311958525187	75ba9d394658d08e5eddcd9329148c46	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00006 len=138731 cov=33.5 corr=0 origname=NODE_6_length_138731_cov_33.526806_pilon sw=shovill-spades/1.0.4 date=20190108	138731	0.3302722534977763	941bcaa32e08037b1d7694a82775c17c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00007 len=119989 cov=32.4 corr=0 origname=NODE_7_length_119989_cov_32.372709_pilon sw=shovill-spades/1.0.4 date=20190108	119989	0.32026269074665176	11b42d8191b9f5cbfcafc502010bdc3d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00008 len=112320 cov=33.5 corr=0 origname=NODE_8_length_112320_cov_33.547772_pilon sw=shovill-spades/1.0.4 date=20190108	112320	0.33384081196581195	6ab5fd9eecb4ae0cba1b4a4d3126133e	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00009 len=88015 cov=33.3 corr=0 origname=NODE_9_length_88015_cov_33.310695_pilon sw=shovill-spades/1.0.4 date=20190108	88015	0.32905754700903256	119099f93218e5c2fc4a8cec754b77df	not tested	-	-	MOBT	GQ900429_00012	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00010 len=87635 cov=29.6 corr=0 origname=NODE_10_length_87635_cov_29.591004_pilon sw=shovill-spades/1.0.4 date=20190108	87635	0.32816796941861126	0309fd7b13f777ae25659af7ae158534	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00011 len=75660 cov=32.7 corr=0 origname=NODE_11_length_75660_cov_32.721085_pilon sw=shovill-spades/1.0.4 date=20190108	75660	0.336293946603225	90d90ca6fdc9fb645043e53a8305e4d9	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00012 len=68072 cov=30.4 corr=0 origname=NODE_12_length_68072_cov_30.415705_pilon sw=shovill-spades/1.0.4 date=20190108	68072	0.31941179927135976	72d819a1a88ee9e4c5574c23179bf201	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00013 len=53883 cov=32.4 corr=0 origname=NODE_13_length_53883_cov_32.413985_pilon sw=shovill-spades/1.0.4 date=20190108	53883	0.33593155540708575	fc54b84f99802b1863f8a74c1f681a1f	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00014 len=45847 cov=27.4 corr=0 origname=NODE_14_length_45847_cov_27.403517_pilon sw=shovill-spades/1.0.4 date=20190108	45847	0.32244203546578837	fdf41a1e58369713de7f3aac10110183	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00015 len=37909 cov=32.1 corr=0 origname=NODE_15_length_37909_cov_32.079885_pilon sw=shovill-spades/1.0.4 date=20190108	37909	0.33466986731383047	525b69ea7bace163656bfcb3793b98b4	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00016 len=32289 cov=30.6 corr=0 origname=NODE_16_length_32289_cov_30.557569_pilon sw=shovill-spades/1.0.4 date=20190108	32289	0.3157422032271052	3da0b5bfb643d3a63a4b8be7d76760a2	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	SAMN04875284.contig00017 len=30064 cov=28.9 corr=0 origname=NODE_17_length_30064_cov_28.926826_pilon sw=shovill-spades/1.0.4 date=20190108	30064	0.3251397019691325	034d8d1d263028523b4488ee32588561	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	plasmid	AA840	AJ227	SAMN04875284.contig00018 len=25202 cov=116.3 corr=0 origname=NODE_18_length_25202_cov_116.264372_pilon sw=shovill-spades/1.0.4 date=20190108	25202	0.30267439092135545	a8d7863cd13f9ae15760e435f4d59040	not tested	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBQ	AF001314	-	GQ900388	0.00541137	Staphylococcus aureus	-	-	-
